rank,slug,thema,fach,stufe,ziel_r,typ,protokolle,als_fall,letzte12m,chat_alt,prot_alt,gefaltet_in,status
23,ileus,Ileus,Allgemein- und Viszeralchirurgie,KERN,5,Frage,114,13,12,88,210,,
24,divertikulitis,Divertikulitis,Allgemein- und Viszeralchirurgie,KERN,5,Fall,92,23,18,68,135,,
25,lungenembolie,Lungenembolie,Angiologie,KERN,5,Fall,93,17,16,76,144,,
26,kolonkarzinom,Kolonkarzinom,Allgemein- und Viszeralchirurgie,KERN,5,Fall,96,20,14,42,101,,
27,herzinsuffizienz,Herzinsuffizienz,Kardiologie,KERN,5,Fall,101,40,12,66,261,,
28,anaesthesie-atemweg,Anästhesie & Atemwegssicherung,Drittes Fach,KERN,5,Frage,81,2,17,90,189,,
29,schlaganfall,Schlaganfall / Apoplex,Neurologie,KERN,5,Frage,91,1,13,78,166,,
30,akutes-abdomen,Akutes Abdomen,Allgemein- und Viszeralchirurgie,KERN,5,Frage,79,3,16,29,35,,
31,impfungen-stiko,Impfungen / STIKO,Drittes Fach,KERN,5,Frage,72,1,17,98,166,,
32,schock,Schock,Notfallmedizin,KERN,5,Frage,78,5,15,72,232,,
33,eisenmangelanaemie,Eisenmangelanämie,Hämatologie,STANDARD,4,Fall,80,30,14,61,90,,
34,ikterus-cholestase,Ikterus & Cholestase,Gastroenterologie,STANDARD,4,Frage,93,9,10,44,199,,
35,distale-radiusfraktur,Distale Radiusfraktur,Unfallchirurgie,STANDARD,4,Frage,74,7,14,40,53,,
36,rechtsmedizin,Rechtsmedizin / Leichenschau,Drittes Fach,STANDARD,4,Frage,67,1,16,118,106,,
37,leberzirrhose,Leberzirrhose,Gastroenterologie,STANDARD,4,Frage,83,12,11,46,125,,
38,akuttoxikologie,Akuttoxikologie / Intoxikation,Notfallmedizin,STANDARD,4,Frage,65,1,16,30,62,,
39,reanimation-cpr,Reanimation / CPR,Notfallmedizin,STANDARD,4,Frage,85,1,10,29,47,,
40,pneumonie,Pneumonie,Pneumologie,STANDARD,4,Fall,88,18,9,61,173,,
41,hueft-knie-tep,Hüft- / Knie-TEP,Unfallchirurgie,STANDARD,4,Fall,66,13,15,40,80,,
42,praevention,Check-up / Prävention,Querschnitt,STANDARD,4,Frage,59,0,14,13,30,,
43,av-block,AV-Block,Kardiologie,STANDARD,4,Frage,58,6,11,42,113,,
44,lebertumoren,Lebermetastasen / Lebertumor,Gastroenterologie,STANDARD,4,Frage,67,7,8,39,93,,
45,sepsis,Sepsis & septischer Schock,Notfallmedizin,STANDARD,4,Fall,65,18,8,56,240,,
46,pankreatitis,Pankreatitis,Allgemein- und Viszeralchirurgie,STANDARD,4,Fall,62,15,8,74,129,,
47,khk,KHK / Koronarsyndrom,Kardiologie,STANDARD,4,Frage,45,6,12,16,126,,
48,hyperthyreose,Hyperthyreose,Endokrinologie,STANDARD,4,Fall,62,20,7,39,83,,
49,sprunggelenksfraktur,Sprunggelenksfraktur (OSG),Unfallchirurgie,STANDARD,4,Frage,59,4,7,44,83,,
50,schilddruesenkarzinom,Schilddrüsenkarzinom,Endokrinologie,STANDARD,4,Fall,52,11,8,22,43,,
51,strahlenschutz,Strahlenschutz,Drittes Fach,STANDARD,4,Frage,42,0,10,82,49,,
52,gastritis,Gastritis (Typ A/B/C),Gastroenterologie,STANDARD,4,Fall,52,23,7,36,84,,
53,anaphylaxie,Anaphylaxie,Notfallmedizin,STANDARD,4,Frage,42,2,9,25,38,,
54,tvt,Tiefe Beinvenenthrombose (TVT),Angiologie,STANDARD,4,Fall,47,9,7,37,74,,
55,sozialrecht-hygiene,Sozialrecht & Hygiene,Drittes Fach,STANDARD,4,Frage,46,3,7,31,88,,
56,makrozytaere-anaemie-b12,Makrozytäre Anämie / Vitamin-B12-Mangel,Hämatologie,STANDARD,4,Fall,56,24,4,0,0,,neu
57,morbus-crohn,Morbus Crohn & Colitis ulcerosa,Gastroenterologie,STANDARD,4,Frage,51,7,5,21,115,,
58,bronchialkarzinom,Bronchialkarzinom,Pneumologie,STANDARD,4,Fall,35,12,9,35,65,,
59,diarrhoe,Diarrhoe / Gastroenteritis,Gastroenterologie,STANDARD,4,Fall,55,22,3,17,40,,
60,elektrolytstoerungen-k-ca,Elektrolytstörungen K⁺/Ca²⁺,Nephrologie,STANDARD,4,Fall,44,8,5,0,0,,neu
61,nierenversagen,Nierenversagen (akut / akut-auf-chron.),Nephrologie,STANDARD,4,Fall,36,8,7,43,198,,
62,humerusfraktur,Humerusfraktur,Unfallchirurgie,STANDARD,4,Fall,38,9,6,15,45,,
63,pavk,pAVK,Angiologie,STANDARD,4,Fall,41,8,5,24,93,,
64,synkope,Synkope,Kardiologie,STANDARD,4,Fall,28,9,8,18,77,,
65,milzruptur-splenektomie,Milzruptur / Splenektomie,Allgemein- und Viszeralchirurgie,STANDARD,4,Frage,41,0,4,24,57,,
66,copd,COPD,Pneumologie,STANDARD,4,Fall,37,9,5,31,99,,
67,osteoporose,Osteoporose,Endokrinologie,RAND,2,Frage,22,2,8,17,70,,
68,rektumkarzinom,Rektumkarzinom,Allgemein- und Viszeralchirurgie,RAND,2,Fall,41,15,2,15,47,,
69,herzklappenerkrankungen,Herzklappenerkrankungen,Kardiologie,RAND,2,Fall,26,9,6,26,57,,
70,hepatitis,Hepatitis,Gastroenterologie,RAND,2,Frage,28,2,5,18,133,,
71,pankreaskarzinom,Pankreaskarzinom,Allgemein- und Viszeralchirurgie,RAND,2,Frage,31,2,4,15,41,,
72,hypothyreose,Hypothyreose,Endokrinologie,RAND,2,Fall,33,11,3,16,66,,
73,akute-leukaemien,Akute Leukämien (ALL),Hämatologie,RAND,2,Fall,28,9,4,15,76,,
74,magenkarzinom,Magenkarzinom,Allgemein- und Viszeralchirurgie,RAND,2,Frage,27,2,3,11,44,,
75,tuberkulose,Tuberkulose,Pneumologie,RAND,2,Frage,29,0,2,22,59,,
76,haemorrhoiden,Hämorrhoiden,Allgemein- und Viszeralchirurgie,RAND,2,Frage,23,0,3,11,45,,
77,asthma-bronchiale,Asthma bronchiale,Pneumologie,RAND,2,Frage,22,0,3,15,87,,
78,borreliose-fsme,Borreliose / FSME / Zeckenbiss,Drittes Fach,RAND,2,Frage,21,0,3,37,40,,
79,struma,Struma,Endokrinologie,RAND,2,Frage,21,3,3,8,39,,
80,verbrennung,Verbrennung,Notfallmedizin,RAND,2,Frage,14,0,5,19,35,,
81,aortenaneurysma,Aortenaneurysma (AAA),Angiologie,RAND,2,Fall,20,6,2,10,30,,
82,gerd,GERD / Refluxkrankheit,Gastroenterologie,RAND,2,Fall,22,10,1,11,48,,
83,meningitis,Meningitis / Enzephalitis,Neurologie,RAND,2,Frage,22,1,1,22,40,,
84,rheumatologie-pmr-rza,"Rheumatologie (PMR, RZA, Spondyloarthritis)",Innere,RAND,2,Fall,18,4,2,0,0,,neu
85,aortendissektion,Aortendissektion,Angiologie,RAND,2,Frage,12,0,3,11,62,,
86,wirbelsaeulenverletzungen,Wirbelsäulenverletzungen,Unfallchirurgie,RAND,2,Frage,15,2,2,3,20,,
87,delir,Delir,Notfallmedizin,RAND,2,Fall,15,7,1,12,25,,
88,morbus-hodgkin,Morbus Hodgkin,Hämatologie,RAND,2,Fall,12,6,1,9,46,,
89,hyponatriaemie-siadh,Hyponatriämie / SIADH,Nephrologie,RAND,2,Fall,12,6,1,9,23,,
90,infektioese-endokarditis,Infektiöse Endokarditis,Kardiologie,RAND,2,Fall,9,2,1,7,52,,
91,non-hodgkin-lymphome,Non-Hodgkin-Lymphom (NHL),Hämatologie,RAND,2,Fall,11,3,0,6,81,,
92,cushing-syndrom,Cushing-Syndrom,Endokrinologie,RAND,2,Frage,11,0,0,5,27,,
,ventr-tachykardie-kammerflimmern,Ventr. Tachykardie / Kammerflimmern,Innere,GEFALTET,,Frage,76,1,8,0,0,bereits gefaltet,
,kompartmentsyndrom,Kompartmentsyndrom,Chirurgie,GEFALTET,,Frage,32,0,3,0,0,bereits gefaltet,
,claviculafraktur,Claviculafraktur,Unfallchirurgie,GEFALTET,,Fall,10,3,4,10,39,allgemeine-frakturlehre,
,beckenringfrakturen,Beckenringfrakturen,Unfallchirurgie,GEFALTET,,Frage,15,0,3,7,33,polytrauma-abcde,
,kreuzbandruptur,Kreuzbandruptur,Unfallchirurgie,GESTRICHEN,,Frage,2,0,0,0,30,,gestrichen
,hirnblutungen-edh-sdh-sab-icb,Hirnblutungen (EDH/SDH/SAB/ICB),Notfall,GEFALTET,,Frage,42,0,3,0,0,bereits gefaltet,
,paroxysmale-svt-avnrt,Paroxysmale SVT / AVNRT,Innere,GEFALTET,,Frage,20,0,2,0,0,bereits gefaltet,
